,date,score,label
0,2020-02-05,0.1636785714285713,3
1,2020-02-04,0.1101499999999999,2
2,2020-02-03,0.2386470588235295,3
3,2020-02-02,0.2023,3
4,2020-01-30,0.0547166666666666,2
5,2020-01-29,0.1568166666666666,3
6,2020-01-27,0.0829333333333333,2
7,2020-01-23,-0.10235,2
8,2020-01-21,0.3182,3
9,2020-01-31,0.3259875,3
10,2020-02-01,-0.3182,1
11,2020-01-17,0.11212,2
12,2020-01-16,-0.0987749999999999,2
13,2020-01-15,0.2559,3
14,2020-01-14,0.240275,3
15,2020-01-28,-0.0025348639009181296,2
16,2020-01-07,0.0081799999999999,2
17,2020-01-26,0.5267,4
18,2020-01-06,0.1996333333333333,3
19,2020-01-24,0.1956,3
20,2020-01-25,0.1494,3
21,2019-12-30,-0.45175,1
22,2020-01-02,-0.4166624999999999,1
23,2020-01-22,0.2478111111111111,3
24,2019-12-27,-0.1542,2
25,2019-12-29,-0.0516,2
26,2019-12-22,0.3818,3
27,2020-01-20,-0.7269,0
28,2019-12-18,0.1739666666666666,3
29,2019-12-19,0.1779,3
30,2020-01-19,0.0258,2
31,2019-12-10,0.0192,2
32,2019-12-05,0.175,3
33,2019-12-08,-0.001048899153669658,2
34,2019-12-04,-0.08022,2
35,2019-12-03,0.40835,3
36,2019-12-02,-0.069975,2
37,2020-01-13,-0.326,1
38,2019-11-25,-0.296575,1
39,2019-11-26,-0.3002333333333333,1
40,2020-01-12,0.296,3
41,2019-11-20,-0.3099999999999999,1
42,2020-01-10,0.2231,3
43,2020-01-09,-0.1609499999999999,2
44,2019-11-19,0.3106,3
45,2019-11-15,0.13065,2
46,2019-11-17,-0.5574,0
47,2020-01-08,0.28532,3
48,2019-11-11,0.1126749999999999,2
49,2020-01-03,-0.1689,2
50,2019-11-05,0.3612,3
51,2019-10-31,0.4995,4
52,2019-11-03,-0.00452125872060813,2
53,2019-10-30,-0.1531,2
54,2019-12-26,0.34,3
55,2019-12-31,0.006620407992464554,2
56,2019-12-23,0.00468156715709843,2
57,2019-12-24,0.7579,4
58,2019-10-28,-0.1016,2
59,2019-12-20,0.3182,3
60,2019-12-15,0.3612,3
61,2019-12-16,-0.42925,1
62,2019-12-17,0.44015,3
63,2019-10-25,0.29994,3
64,2019-10-27,0.4404,3
65,2019-12-11,0.1866,3
66,2019-12-12,-0.0772,2
67,2019-12-13,-0.004870495900885108,2
68,2019-12-09,0.7964,4
69,2019-10-22,-0.0760499999999999,2
70,2019-12-06,0.0016495564656449813,2
71,2019-10-18,0.4404,3
72,2019-10-20,0.3612,3
73,2019-10-16,0.005467268634682134,2
74,2019-10-13,0.0772,2
75,2019-10-14,0.079675,2
76,2019-11-29,0.34,3
77,2019-11-30,0.128,2
78,2019-10-09,-0.15825,2
79,2019-11-27,0.15105,3
80,2019-11-28,0.2006,3
81,2019-10-07,-0.4404,1
82,2019-10-08,-0.0395999999999999,2
83,2019-11-23,-0.4588,1
84,2019-11-24,0.0772,2
85,2019-09-27,-0.43405,1
86,2019-11-18,0.4019,3
87,2019-09-26,-0.0966499999999999,2
88,2019-09-24,0.2066333333333333,3
89,2019-09-25,0.16565,3
90,2019-11-13,0.008330597986577797,2
91,2019-11-14,0.3182,3
92,2019-11-07,-0.47095,1
93,2019-11-08,0.3182,3
94,2019-09-23,-0.5319,1
95,2019-11-06,-0.5719,0
96,2019-09-20,0.1038666666666666,2
97,2019-11-04,0.0293,2
98,2019-09-19,-0.318125,1
99,2019-11-01,0.03992,2
100,2019-09-18,0.0894499999999999,2
101,2019-10-29,0.1413,3
102,2019-09-12,0.17136,3
103,2019-09-11,-0.2357,1
104,2019-09-09,0.0870749999999999,2
105,2019-10-23,0.0258,2
106,2019-10-24,0.3764999999999999,3
107,2019-09-06,-0.0049666666666666,2
108,2019-09-03,0.003254256690286501,2
109,2019-10-17,0.3818,3
110,2019-10-21,0.296,3
111,2019-09-02,0.6009666666666668,4
112,2019-10-15,-0.1367499999999999,2
113,2019-10-10,-0.1276,2
114,2019-10-11,-0.1508,2
115,2019-10-12,0.3182,3
116,2019-08-28,-0.0969333333333333,2
117,2019-08-22,-0.6166,0
118,2019-08-23,0.13838,3
119,2019-10-02,-0.0038910080512749826,2
120,2019-10-03,-0.4019,1
121,2019-08-19,-0.1906799999999999,2
122,2019-10-01,-0.119525,2
123,2019-08-14,0.187,3
124,2019-08-15,0.03105,2
125,2019-08-13,-0.13695,2
126,2019-08-08,-0.0516,2
127,2019-08-10,-0.3182,1
128,2019-08-06,-0.4323,1
129,2019-08-04,-0.0032965212042183945,2
130,2019-08-05,-0.0618,2
131,2019-07-30,0.0178749999999999,2
132,2019-07-31,0.3818,3
133,2019-07-29,0.34384,3
134,2019-09-16,0.0004323710638304101,2
135,2019-09-17,-0.3549666666666666,1
136,2019-07-26,0.1277142857142857,2
137,2019-07-28,0.38075,3
138,2019-09-13,0.0007947579783429659,2
139,2019-07-25,0.3407166666666666,3
140,2019-09-10,-0.34435,1
141,2019-07-24,0.0097999999999999,2
142,2019-09-05,-0.1282499999999999,2
143,2019-07-22,0.6369,4
144,2019-07-23,-0.4588,1
145,2019-09-04,0.3182,3
146,2019-08-29,0.0224999999999999,2
147,2019-08-30,0.1077499999999999,2
148,2019-07-19,-0.64775,0
149,2019-08-26,-0.5267,1
150,2019-08-27,-0.002141358650691512,2
151,2019-07-16,0.0854666666666666,2
152,2019-07-17,-0.04765,2
153,2019-08-24,-0.5719,0
154,2019-08-20,-0.1847999999999999,2
155,2019-08-21,0.4019,3
156,2019-07-12,0.3818,3
157,2019-08-16,0.34,3
158,2019-07-11,-0.006179314707391486,2
159,2019-07-09,0.5267,4
160,2019-08-11,0.2556,3
161,2019-08-12,-0.2023,1
162,2019-07-07,0.005429786932931211,2
163,2019-07-08,0.3119,3
164,2019-07-02,-0.0743333333333333,2
165,2019-08-01,0.005201956611147085,2
166,2019-08-02,-0.1993,2
167,2019-06-28,0.3576666666666666,3
168,2019-06-26,-0.0799,2
169,2019-06-27,0.00420537360916695,2
170,2019-06-21,0.2074,3
171,2019-06-19,0.3286666666666666,3
172,2019-06-17,0.1953666666666667,3
173,2019-06-14,0.1235999999999999,2
174,2019-06-12,-0.132175,2
175,2019-06-11,0.01065,2
176,2019-07-18,-0.051725,2
177,2019-07-15,0.221625,3
178,2019-06-06,-0.117975,2
179,2019-07-14,-0.2577,1
180,2019-06-05,0.1648714285714285,3
181,2019-06-04,-0.30485,1
182,2019-07-10,-0.0098499999999999,2
183,2019-07-04,-0.295,1
184,2019-07-05,-0.296,1
185,2019-06-03,0.1670857142857142,3
186,2019-07-06,0.5574,4
187,2019-06-02,0.1008999999999999,2
188,2019-07-03,-0.6597,0
189,2019-05-30,-0.6166,0
190,2019-05-31,0.43335,3
191,2019-07-01,0.268,3
192,2019-05-29,-0.0776499999999999,2
193,2019-05-28,-0.005930722381428095,2
194,2019-06-24,0.2656333333333333,3
195,2019-06-25,-0.4994999999999999,1
196,2019-05-23,-0.1779,2
197,2019-05-22,-0.41972,1
198,2019-06-20,0.296,3
199,2019-05-21,0.0747375,2
200,2019-06-18,0.6597,4
201,2019-05-20,-0.2775222222222222,1
202,2019-06-16,0.0144666666666666,2
203,2019-06-13,-0.5574,0
204,2019-05-16,-0.4767,1
205,2019-05-14,-0.1297,2
206,2019-06-10,-0.128,2
207,2019-05-12,-0.0299,2
208,2019-06-09,-0.5267,1
209,2019-05-08,0.0743333333333333,2
210,2019-05-10,-0.4306666666666666,1
211,2019-06-07,-0.1246333333333333,2
212,2019-06-08,0.2023,3
213,2019-05-06,-0.11225,2
214,2019-05-07,0.3666,3
215,2019-05-05,-0.0059135736282812925,2
216,2019-05-02,0.5362,4
217,2019-05-03,0.3792999999999999,3
218,2019-05-01,-0.22865,1
219,2019-04-30,-0.04712,2
220,2019-04-29,-0.0131333333333333,2
221,2019-05-27,-0.006294521933743651,2
222,2019-05-24,0.0376,2
223,2019-04-28,-0.7717,0
224,2019-04-26,0.1272666666666666,2
225,2019-04-24,0.6705,4
226,2019-04-22,-0.3182,1
227,2019-04-17,0.3769666666666666,3
228,2019-05-17,-0.5303,1
229,2019-05-19,0.008562238424446974,2
230,2019-04-14,0.3022999999999999,3
231,2019-05-15,0.0017197168670390762,2
232,2019-04-11,-0.6021000000000001,0
233,2019-04-12,-0.0475999999999999,2
234,2019-05-13,-0.3818,1
235,2019-04-10,0.110775,2
236,2019-05-09,-0.4829999999999999,1
237,2019-04-09,-0.6486,0
238,2019-04-07,0.2023,3
239,2019-04-04,-0.636,0
240,2019-04-03,0.4299333333333333,3
241,2019-04-02,0.1826,3
242,2019-03-29,-0.3767,1
243,2019-03-31,0.128,2
244,2019-03-28,0.3670249999999999,3
245,2019-04-25,-0.0142499999999999,2
246,2019-04-23,-0.3356333333333334,1
247,2019-03-26,0.4215,3
248,2019-03-22,0.006885986175245054,2
249,2019-03-25,0.2711666666666667,3
250,2019-03-20,-0.42978,1
251,2019-04-13,-0.5574,0
252,2019-04-15,0.4740999999999999,4
253,2019-03-19,-0.3456249999999999,1
254,2019-03-17,-0.003855399177737795,2
255,2019-03-15,-0.2366166666666666,1
256,2019-03-13,-0.1677,2
257,2019-03-14,0.002371633532952158,2
258,2019-04-08,-0.0136333333333333,2
259,2019-03-12,0.4481666666666666,3
260,2019-04-05,-0.2446,1
261,2019-04-06,0.2023,3
262,2019-03-11,0.4215,3
263,2019-03-07,0.3439333333333333,3
264,2019-03-08,-0.1451999999999999,2
265,2019-04-01,0.0463333333333333,2
266,2019-03-06,-0.46715,1
267,2019-03-27,0.128,2
268,2019-03-30,-0.7579,0
269,2019-03-04,-0.3192,1
270,2019-03-05,-0.007022829330162088,2
271,2019-03-01,-0.4019,1
272,2019-02-27,0.4939,4
273,2019-02-28,-0.0420333333333333,2
274,2019-03-21,0.008778603699370916,2
275,2019-03-23,-0.00749710917175062,2
276,2019-03-24,-0.2732,1
277,2019-02-25,-0.0025890249652127627,2
278,2019-02-21,-0.1027,2
279,2019-02-18,-0.1798666666666666,2
280,2019-02-19,0.4144,3
281,2019-03-16,-0.4019,1
282,2019-03-18,-0.0878,2
283,2019-02-14,-0.0215999999999999,2
284,2019-02-15,0.38865,3
285,2019-02-13,0.333275,3
286,2019-02-11,0.1838333333333333,3
287,2019-02-12,-0.147475,2
